CustomerID,Age,Gender,IncomeTier,Region,Education,ContractLength,PaymentMethod,PlanType,TenureMonths,MonthlyCharges,TotalCharges,LoginsLastMonth,TicketsOpened,TicketsResolutionTime,RFMScore,UsageChangePct,CompetitorIndex,Churn,DeviceType,ChannelPreferred,CustomerSegment,AutoPay,Paperless,FamilyPlan,AddOnBundle,ReferralSource,SupportChannelPreferred,ComplaintCategory,DiscountType,ContractAutoRenew,DeviceOS,CityTier,PromoCodeUsed,PaymentDelinquencyStatus
1,56,M,Low,East,Diploma,One year,Electronic Check,basic,67,87.55,5865.85,21,6,11.98563801,14,-0.263857357,0.206880887,0,Desktop,Phone,Bronze,TRUE,No,No,Movies,Unknown,Social,Technical,Loyalty,N,iOS,Tier-2,SUMMER,Current
2,69,Female,low,North,Diploma,M2M,paypal,Standard,97,131.96,23765.7428,44,6,46.03346318,7,-0.146213366,0.617703675,0,Mobile,Web,Silver,0,Yes,No,Sports,Search,Phone,Technical,Loyalty,Y,iOS,Tier-3,WELCOME,Current
3,46,M,low,North,Diploma,Two year,paypal,Ultra,22,79.95,1758.9,84,3,39.91479285,4,0.309409536,0.149255884,0,Mobile,APP,Gold,Yes,Yes,Yes,Movies,Friend,Phone,Technical,Loyalty,0,Android,Tier-3,SUMMER,Current
4,32,Female,HIGH,East,Diploma,3-Year,Electronic Check,Premium,65,105.84,6879.6,34,1,57.60014346,5,-0.985059493,0.985997892,1,Mobile,App,Silver,1,NO,No,Movies,Event,Phone,Technical,Promo,N,Android,Tier-2,CYBER,Current
5,60,TRUE,Very High,East,Bachelors,One year,paypal,Ultra,27,134.06,3619.62,37,15,38.54120385,13,-0.476477658,0.106121205,0,Mobile,Chat,Bronze,Yes,yes,No,WorkFromHome,Friend,Phone,Technical,Loyalty,Y,Android,Tier-2,SUMMER,60+
6,25,Male,Low,West,Diploma,Two year,Crypto,Standard,29,134.37,4913.795,64,6,34.32852153,9,-0.657513736,0.08847802,1,Tablet,Web,Gold,0,Yes,Yes,Music,Unknown,App,Billing,Loyalty,No,Windows,Tier-1,SUMMER,Current
7,78,M,HIGH,East,High School,One year,Credit Card,Standard,61,187.91,4913.795,3,15,54.42541894,1,0.606675226,0.625241159,1,SmartTV,App,Silver,No,No,No,Movies,Social,Chat,Technical,Promo,N,Android,Tier-2,SUMMER,Current
8,38,1,High,East,Bachelors,3-Year,Electronic Check,Basic,24,178.24,4277.76,31,3,24.23452884,8,0.541677212,0.300901118,0,Mobile,App,Gold,TRUE,Yes,No,Movies,Social,Email,Technical,Loyalty,1,Android,Tier-2,BLACKFRIDAY,Current
9,56,M,Medium,North,Bachelors,One year,Mailed Check,Basic,75,183.21,13740.75,1,0,28.36280585,7,0.667412442,0.846982479,1,Tablet,App,Platinum,0,YES,Yes,WorkFromHome,Radio,App,Technical,Loyalty,Y,Linux,Tier-2,SUMMER,Current
10,75,0,low,West,High School,3-Year,paypal,STANDARD,72,160.05,11523.6,9,19,32.44160249,11,0.110751942,0.212348009,0,SmartTV,In-Store,Bronze,1,No,No,Movies,Search,Email,Outage,Promo,Yes,Android,Tier-1,SUMMER,Current
11,49,F,High,West,Bachelors,M2M,Bank Transfer,Basic,34,116.35,3955.9,87,13,35.93246418,5,0.427106553,0.101645184,0,Desktop,In-Store,Bronze,1,No,Yes,Movies,Friend,Community,Billing,Loyalty,Unknown,iOS,Tier-2,BLACKFRIDAY,Current
12,49,M,low,Central,Diploma,Month-to-month,Electronic Check,Ultra,49,90.88,4913.795,13,13,48.88973905,10,-0.483587962,0.527600759,0,Mobile,Phone,Silver,Yes,YES,No,Movies,Email,Phone,Service,Student,N,iOS,Tier-2,SUMMER,Current
13,28,0,low,Central,Bachelors,Month-to-month,Electronic Check,STANDARD,100,184.99,18499,4,3,69.61025159,1,-0.530078779,0.340244642,0,Tablet,Phone,Silver,0,NO,No,Movies,Search,Social,Technical,Loyalty,Y,Windows,Tier-3,SUMMER,Current
14,28,F,HIGH,Central,Diploma,One year,Credit Card,Basic,19,104.41,1983.79,50,12,37.38500102,14,-0.88241852,0.411774387,1,Mobile,Phone,Silver,No,yes,Yes,Kids,Affiliate,Phone,Technical,Employee,No,iOS,Tier-1,NEWYEAR,30+
15,41,0,Low,Central,Diploma,Month-to-month,cash,STANDARD,35,30.75,1076.25,81,7,2.105591931,5,-0.522261357,0.445193081,1,Tablet,Web,Bronze,Yes,no,Yes,Movies,Friend,Chat,Technical,Loyalty,N,Android,Tier-3,BLACKFRIDAY,Current
16,49,F,Medium,West,Diploma,M2M,paypal,Ultra,49,33.22,1627.78,0,15,53.14761212,13,-0.513691946,0.513212459,0,Desktop,Phone,Platinum,1,Yes,No,Movies,Search,Community,Billing,Intro,Y,Android,Tier-2,SUMMER,Current
17,53,Male,Low,North,PhD,Two year,Electronic Check,Basic,26,159.21,4139.46,274.8947108,10,34.00520527,9,0.312970273,0.445157352,0,SmartTV,App,Platinum,TRUE,Yes,No,Movies,Search,Email,Technical,Promo,Y,Other,Tier-1,FLASH,Current
18,57,M,Low,Central,PhD,One year,Bank Transfer,STANDARD,30,139.71,4191.3,74,7,70.21072689,1,-0.603013298,0.471174268,0,Mobile,Web,Bronze,Yes,No,Yes,Movies,Social,Social,Technical,Loyalty,N,iOS,Tier-1,VIP,Current
19,41,0,low,Central,Bachelors,M2M,paypal,Standard,24,156.43,4913.795,36,0,59.96931388,2,0.184901192,0.412473274,0,Tablet,Chat,Bronze,No,Yes,No,Movies,Social,Chat,Service,Loyalty,N,iOS,Tier-3,SUMMER,Current
20,20,TRUE,Low,West,High School,One year,Credit Card,STANDARD,6,126.43,758.58,15,8,7.851182119,9,-0.234433553,0.716989906,0,Desktop,Web,Bronze,Yes,Yes,Yes,Movies,Social,Phone,Technical,Loyalty,1,Android,Tier-1,SUMMER,30+
21,39,Male,Medium,South,High School,Two year,Crypto,Premium,57,93.38,5322.66,60,13,7.015270486,3,0.524730382,0.031885621,1,Mobile,App,Bronze,No,Yes,No,Movies,Social,Phone,Technical,Intro,N,Windows,Tier-3,VIP,Current
22,70,1,High,North,Masters,M2M,paypal,Standard,71,101.21,7185.91,86,17,58.37180828,10,0.646811643,0.565423399,1,Mobile,Web,Bronze,0,Yes,Yes,Movies,Affiliate,Phone,Technical,Loyalty,No,Android,Tier-3,SUMMER,Current
23,19,M,HIGH,North,Diploma,Month-to-month,Credit Card,Ultra,116,76.16,8834.56,53,6,8.920734882,12,-0.667150263,0.325222747,0,Desktop,Web,Bronze,Yes,Yes,No,WorkFromHome,Email,Phone,Technical,Loyalty,N,Windows,Tier-2,SUMMER,Current
24,41,Female,Low,North,Masters,M2M,Credit Card,Premium,67,73.73,4939.91,39,11,14.16972894,10,0.082632687,0.461227827,0,Desktop,Phone,Bronze,1,Yes,Yes,Movies,Friend,Chat,Technical,Loyalty,Unknown,Android,Tier-2,SUMMER,Current
25,61,Female,Medium,South,High School,Month-to-month,Mailed Check,Basic,59,110.06,6493.54,53,18,47.48989887,10,0.749886313,0.412520657,0,Mobile,App,Bronze,FALSE,No,Yes,Movies,TV,Email,Technical,Intro,Unknown,Android,Tier-1,SUMMER,Current
26,47,Female,Low,Central,Diploma,M2M,Electronic Check,Standard,69,199.48,4913.795,52,13,68.94780799,9,-0.028647875,0.773102528,0,Mobile,App,Bronze,1,YES,Yes,Music,Email,App,Technical,Loyalty,Yes,Android,Tier-3,SUMMER,Current
27,55,TRUE,HIGH,Central,Bachelors,Month-to-month,Credit Card,Basic,7,53.15,372.05,84,9,21.93285059,1,-0.643208033,0.212609049,0,Desktop,In-Store,Bronze,No,NO,No,Movies,Search,Email,Technical,Intro,N,Android,Tier-3,VIP,Current
28,19,0,low,North,Masters,3-Year,Bank Transfer,STANDARD,90,92.72,8344.8,76,16,19.51153538,5,0.992974145,0.328288593,0,Tablet,App,Bronze,0,No, ,Security,Friend,Phone,Billing,Loyalty,No,Android,Tier-1,VIP,Current
29,77,0,HIGH,South,Bachelors,One year,paypal,Basic,0,38.1,0,3,4,58.18388396,5,-0.44278912,0.730951996,0,SmartTV,Chat,Silver,TRUE,no,No,Movies,TV,Phone,Outage,Loyalty,0,iOS,Tier-4,VIP,Current
30,38,F,Low,South,Bachelors,Two year,Electronic Check,Premium,29,32.54,943.66,7,8,63.63796671,10,-0.557203319,0.210690857,0,Desktop,Web,Platinum,FALSE,no, ,Sports,Social,App,Technical,Loyalty,No,iOS,Tier-1,SPRING,Current
31,50,Female,Very High,West,Diploma,Month-to-month,Electronic Check,STANDARD,91,81.63,7428.33,85,3,42.10880692,13,-0.590674339,0.883570318,0,SmartTV,App,Platinum,No,NO,No,Gamer,Email,Phone,Technical,Promo,Y,Android,Tier-1,SUMMER,30+
32,29,1,low,West,PhD,Month-to-month,Mailed Check,basic,33,26.48,873.84,38,10,67.41120028,6,-0.579352617,0.020413209,1,SmartTV,Web,Bronze,Yes,Yes,No,Movies,Friend,Chat,Technical,Promo,N,Windows,Tier-1,SUMMER,Current
33,75,0,Medium,Central,High School,3-Year,Electronic Check,basic,60,181.37,10882.2,81,1,19.14944012,3,-0.443801896,0.901059242,0,Mobile,In-Store,Gold,N,Yes,Yes,Movies,Social,App,Technical,Loyalty,0,Android,Tier-2,SUMMER,Current
34,39,TRUE,HIGH,Central,Diploma,Month-to-month,Crypto,Basic,12,19.04,4913.795,98,1,62.90072717,8,-0.814974282,0.993595376,1,SmartTV,APP,Gold,Yes,NO, ,WorkFromHome,Affiliate,Phone,Technical,Loyalty,No,Windows,Tier-2,SUMMER,30+
