CustomerID,Age,Gender,IncomeTier,Region,Education,ContractLength,PaymentMethod,PlanType,TenureMonths,MonthlyCharges,TotalCharges,LoginsLastMonth,TicketsOpened,TicketsResolutionTime,RFMScore,UsageChangePct,CompetitorIndex,Churn,DeviceType,ChannelPreferred,CustomerSegment,AutoPay,Paperless,FamilyPlan,AddOnBundle,ReferralSource,SupportChannelPreferred,ComplaintCategory,DiscountType,ContractAutoRenew,DeviceOS,CityTier,PromoCodeUsed,PaymentDelinquencyStatus
1,56.0,Male,low,East,diploma,1 year,Electronic Check,basic,67.0,87.55,5865.85,21.0,6,11.98563801,14,-0.263857357,0.206880887,0,desktop,phone,bronze,yes,no,no,movies,unknown,social,technical,loyalty,no,ios,tier-2,summer,current
2,69.0,Female,low,North,diploma,Every month,paypal,standard,97.0,131.96,19081.901250000003,44.0,6,46.03346318,7,-0.146213366,0.617703675,0,mobile,web,silver,yes,yes,no,sports,search,phone,technical,loyalty,yes,ios,tier-3,welcome,current
3,46.0,Male,low,North,diploma,2 years,paypal,ultra,22.0,79.95,1758.9,84.0,3,39.91479285,4,0.309409536,0.149255884,0,mobile,app,gold,yes,yes,yes,movies,friend,phone,technical,loyalty,yes,android,tier-3,summer,current
4,32.0,Female,high,East,diploma,3 years,Electronic Check,premium,65.0,105.84,6879.6,34.0,1,57.60014346,5,-0.985059493,0.985997892,1,mobile,app,silver,no,no,no,movies,event,phone,technical,promo,no,android,tier-2,cyber,current
5,60.0,Male,very high,East,bachelors,1 year,paypal,ultra,27.0,134.06,3619.62,37.0,15,38.54120385,13,-0.476477658,0.106121205,0,mobile,chat,bronze,yes,yes,no,workfromhome,friend,phone,technical,loyalty,yes,android,tier-2,summer,60+
6,25.0,Male,low,West,diploma,2 years,Crypto,standard,29.0,134.37,4913.795,64.0,6,34.32852153,9,-0.657513736,0.08847802,1,tablet,web,gold,yes,yes,yes,music,unknown,app,billing,loyalty,no,windows,tier-1,summer,current
7,78.0,Male,high,East,high school,1 year,Credit Card,standard,61.0,187.91,4913.795,3.0,15,54.42541894,1,0.606675226,0.625241159,1,smarttv,app,silver,no,no,no,movies,social,chat,technical,promo,no,android,tier-2,summer,current
8,38.0,Female,high,East,bachelors,3 years,Electronic Check,basic,24.0,178.24,4277.76,31.0,3,24.23452884,8,0.541677212,0.300901118,0,mobile,app,gold,yes,yes,no,movies,social,email,technical,loyalty,no,android,tier-2,blackfriday,current
9,56.0,Male,medium,North,bachelors,1 year,Mailed Check,basic,75.0,183.21,13740.75,1.0,0,28.36280585,7,0.667412442,0.846982479,1,tablet,app,platinum,yes,yes,yes,workfromhome,radio,app,technical,loyalty,yes,linux,tier-2,summer,current
10,75.0,Male,low,West,high school,3 years,paypal,standard,72.0,160.05,11523.6,9.0,19,32.44160249,11,0.110751942,0.212348009,0,smarttv,in-store,bronze,no,no,no,movies,search,email,outage,promo,yes,android,tier-1,summer,current
11,49.0,Female,high,West,bachelors,Every month,Bank Transfer,basic,34.0,116.35,3955.9,87.0,13,35.93246418,5,0.427106553,0.101645184,0,desktop,in-store,bronze,no,no,yes,movies,friend,community,billing,loyalty,unknown,ios,tier-2,blackfriday,current
12,49.0,Male,low,Central,diploma,Every month,Electronic Check,ultra,49.0,90.88,4913.795,13.0,13,48.88973905,10,-0.483587962,0.527600759,0,mobile,phone,silver,yes,yes,no,movies,email,phone,service,student,no,ios,tier-2,summer,current
13,28.0,Male,low,Central,bachelors,Every month,Electronic Check,standard,100.0,184.99,18499.0,4.0,3,69.61025159,1,-0.530078779,0.340244642,0,tablet,phone,silver,yes,no,no,movies,search,social,technical,loyalty,yes,windows,tier-3,summer,current
14,28.0,Female,high,Central,diploma,1 year,Credit Card,basic,19.0,104.41,1983.79,50.0,12,37.38500102,14,-0.88241852,0.411774387,1,mobile,phone,silver,no,yes,yes,kids,affiliate,phone,technical,employee,no,ios,tier-1,newyear,30+
15,41.0,Male,low,Central,diploma,Every month,cash,standard,35.0,30.75,1076.25,81.0,7,2.105591931,5,-0.522261357,0.445193081,1,tablet,web,bronze,yes,no,yes,movies,friend,chat,technical,loyalty,no,android,tier-3,blackfriday,current
16,49.0,Female,medium,West,diploma,Every month,paypal,ultra,49.0,33.22,1627.78,0.0,15,53.14761212,13,-0.513691946,0.513212459,0,desktop,phone,platinum,no,yes,no,movies,search,community,billing,intro,yes,android,tier-2,summer,current
17,53.0,Male,low,North,phd,2 years,Electronic Check,basic,26.0,159.21,4139.46,151.5,10,34.00520527,9,0.312970273,0.445157352,0,smarttv,app,platinum,yes,yes,no,movies,search,email,technical,promo,yes,other,tier-1,flash,current
18,57.0,Male,low,Central,phd,1 year,Bank Transfer,standard,30.0,139.71,4191.3,74.0,7,70.21072689,1,-0.603013298,0.471174268,0,mobile,web,bronze,yes,no,yes,movies,social,social,technical,loyalty,no,ios,tier-1,vip,current
19,41.0,Male,low,Central,bachelors,Every month,paypal,standard,24.0,156.43,4913.795,36.0,0,59.96931388,2,0.184901192,0.412473274,0,tablet,chat,bronze,no,yes,no,movies,social,chat,service,loyalty,no,ios,tier-3,summer,current
20,20.0,Male,low,West,high school,1 year,Credit Card,standard,6.0,126.43,758.58,15.0,8,7.851182119,9,-0.234433553,0.716989906,0,desktop,web,bronze,yes,yes,yes,movies,social,phone,technical,loyalty,no,android,tier-1,summer,30+
21,39.0,Male,medium,South,high school,2 years,Crypto,premium,57.0,93.38,5322.66,60.0,13,7.015270486,3,0.524730382,0.031885621,1,mobile,app,bronze,no,yes,no,movies,social,phone,technical,intro,no,windows,tier-3,vip,current
22,70.0,Female,high,North,masters,Every month,paypal,standard,71.0,101.21,7185.91,86.0,17,58.37180828,10,0.646811643,0.565423399,1,mobile,web,bronze,yes,yes,yes,movies,affiliate,phone,technical,loyalty,no,android,tier-3,summer,current
23,19.0,Male,high,North,diploma,Every month,Credit Card,ultra,116.0,76.16,8834.56,53.0,6,8.920734882,12,-0.667150263,0.325222747,0,desktop,web,bronze,yes,yes,no,workfromhome,email,phone,technical,loyalty,no,windows,tier-2,summer,current
24,41.0,Female,low,North,masters,Every month,Credit Card,premium,67.0,73.73,4939.91,39.0,11,14.16972894,10,0.082632687,0.461227827,0,desktop,phone,bronze,no,yes,yes,movies,friend,chat,technical,loyalty,unknown,android,tier-2,summer,current
25,61.0,Female,medium,South,high school,Every month,Mailed Check,basic,59.0,110.06,6493.54,53.0,18,47.48989887,10,0.749886313,0.412520657,0,mobile,app,bronze,no,no,yes,movies,tv,email,technical,intro,unknown,android,tier-1,summer,current
26,47.0,Female,low,Central,diploma,Every month,Electronic Check,standard,69.0,199.48,4913.795,52.0,13,68.94780799,9,-0.028647875,0.773102528,0,mobile,app,bronze,no,yes,yes,music,email,app,technical,loyalty,yes,android,tier-3,summer,current
